Riv,Reg,RepID,Hg_µmolperkg,Cd_µmolperkg,Pb_µmolperkg,Cr_µmolperkg,Co_µmolperkg,Ni_µmolperkg,Cu_µmolperkg,Zn_µmolperkg,As_µmolperkg,Cd_µM,Pb_µM,Cr_µM,Co_µM,Ni_µM,Cu_µM,Zn_µM,As_µM,Clay,OM,pH,TEMP,COND,OXY,Hardness
gel,SW,gel4,1.540482064,11.60652106,373.5447379,831.9070076,166.8711283,361.3472484,1217.991214,6102.849744,94.53547259,0.0004448,0.005974903,0.006904377,0.004174232,0.038181725,0.041072609,0.122361578,0.027843033,3.08,10.77,7.42,17.1,983,3.22,253.3353169
gel,SW,gel5,1.443700443,14.14732788,506.6815445,827.9679622,179.8160483,383.3475191,1286.984357,6355.3127,103.512709,0.0004448,0.006013514,0.007077467,0.004021516,0.034365257,0.037925282,0.107066381,0.027762947,3.08,10.77,7.42,17.1,983,3.22,258.1954601
itt,Maas,itt1,0.364555275,64.18568398,746.3195763,331.8119582,885.2118529,1352.558915,162.9474993,13258.82028,1690.594688,0.001014145,0.004261583,0.003461805,0.002748884,0.00085189,0.007726686,0.137656776,0.023932194,0.71,4.17,7.07,13.7,254,9.19,55.67742051
itt,Maas,itt2,0.297126853,40.73764403,253.561754,212.152698,479.4544126,695.7626318,115.3634073,8942.9121,983.1353636,0.0004448,0.004063707,0.002942534,0.000848421,0.00085189,0.007002801,0.107066381,0.024332621,0.71,4.17,7.07,13.7,254,9.19,51.21315034
itt,Maas,itt3,0.073592718,7.616705576,336.4663716,97.75821301,150.4593235,225.9411469,38.25265629,2433.232766,338.5084493,0.000889601,0.00480695,0.142395569,0.002782821,0.00085189,0.009552135,0.122361578,0.024092365,0.71,4.17,7.07,13.7,254,9.19,51.28482725
itt,Maas,itt4,0.098176765,6.482085728,31.19844712,105.102016,177.1903728,282.8520043,111.6435828,2879.592079,425.2375761,0.0004448,0.004662162,0.002634818,0.000848421,0.00085189,0.006546439,0.122361578,0.025667379,0.71,4.17,7.07,13.7,254,9.19,52.04501333
itt,Maas,itt5,0.2710202,8.22157292,55.480225,116.055034,178.1206278,277.4516839,43.39745234,2767.633978,370.0695456,0.0006672,0.004461873,0.003202169,0.001798653,0.00085189,0.007364744,0.122361578,0.024212493,0.71,4.17,7.07,13.7,254,9.19,51.48373244
jek,Maas,jek1,1.017761434,10.05523723,267.3268869,491.7472327,79.50647255,232.7077842,511.2074163,4697.696362,56.22688268,0.0004448,0.027239382,0.016020463,0.000848421,0.00085189,0.061262707,0.504741511,0.023705286,0.18,7.18,7.72,14.5,813,7.56,287.147072
jek,Maas,jek2,1.065948711,10.57231476,262.3535852,471.278791,79.06024811,225.1882883,512.3081373,4469.189648,54.09248977,0.0004448,0.022147683,0.013251019,0.000848421,0.00085189,0.050372958,0.489446314,0.021636412,0.18,7.18,7.72,14.5,813,7.56,244.8007064
jek,Maas,jek3,1.361899052,14.40469804,361.0641742,625.1221133,99.19948552,298.646106,698.1552408,6022.051856,77.30227728,0.0004448,0.020067568,0.011443188,0.000848421,0.00085189,0.04821704,0.382379933,0.020581954,0.18,7.18,7.72,14.5,813,7.56,223.6881042
